Full name,Short Name,Readable Name,Year,Month,Mean,Std Dev,Min,Max,Cutoff,Bins,Ticks
GBPUSD_Ticks_2007.01.01_2007.01.31.csv,GBPUSD,GBP/USD,2007,January,0.00017713010326700162,7.16339560827343e-05,4e-05,0.0007,0.0004,16,395286
USDJPY_Ticks_2007.01.01_2007.01.31.csv,USDJPY,USD/JPY,2007,January,0.016017654080275945,0.006384013588635911,0.004,0.06,0.03,12,470826
AUDJPY_Ticks_2007.07.01_2007.07.31.csv,AUDJPY,AUD/JPY,2007,July,0.027006483743303104,0.00946171008402987,0.004,0.17,0.06,21,2123002
AUDUSD_Ticks_2007.07.01_2007.07.31.csv,AUDUSD,AUD/USD,2007,July,0.00013895341710082746,6.874884939478475e-05,-0.00074,0.00066,0.00045,12,117468
EURAUD_Ticks_2007.07.01_2007.07.31.csv,EURAUD,EUR/AUD,2007,July,0.00040727626445267084,0.00015729757766321388,5e-05,0.0031,0.0009,18,841194
EURGBP_Ticks_2007.07.01_2007.07.31.csv,EURGBP,EUR/GBP,2007,July,0.00013134861725362396,5.891000218716204e-05,4e-05,0.001,0.00027,11,1615336
EURJPY_Ticks_2007.07.01_2007.07.31.csv,EURJPY,EUR/JPY,2007,July,0.016945028150092734,0.007368861956435202,0.005,0.25,0.04,8,3050434
EURUSD_Ticks_2007.07.01_2007.07.31.csv,EURUSD,EUR/USD,2007,July,0.00012060418386603644,6.255382169144631e-05,4e-05,0.0007,0.0003,21,1021113
GBPAUD_Ticks_2007.07.01_2007.07.31.csv,GBPAUD,GBP/AUD,2007,July,0.0005161358422795735,0.00013368791180494194,0.00035,0.00296,0.0009,32,550138
GBPJPY_Ticks_2007.07.01_2007.07.31.csv,GBPJPY,GBP/JPY,2007,July,0.036955520049066735,0.012901063930525064,0.005,0.31,0.07,26,2497822
GBPUSD_Ticks_2007.07.01_2007.07.31.csv,GBPUSD,GBP/USD,2007,July,0.0001694293292508949,7.171414257639765e-05,4e-05,0.0026,0.0004,19,2320182
USDJPY_Ticks_2007.07.01_2007.07.31.csv,USDJPY,USD/JPY,2007,July,0.013332419004615976,0.005590624057751865,0.005,0.16,0.03,6,2781640
AUDJPY_Ticks_2007.06.01_2007.06.30.csv,AUDJPY,AUD/JPY,2007,June,0.0274607281462475,0.008187967631532608,0.005,0.18,0.06,22,1526946
AUDUSD_Ticks_2007.06.01_2007.06.30.csv,AUDUSD,AUD/USD,2007,June,0.0001515926864090637,7.182845101463122e-05,-0.00114,0.0007,0.00045,35,108565
EURAUD_Ticks_2007.06.01_2007.06.30.csv,EURAUD,EUR/AUD,2007,June,0.00042816619132043487,0.0001349441041693503,0.0001,0.0027,0.0009,9,25946
EURGBP_Ticks_2007.06.01_2007.06.30.csv,EURGBP,EUR/GBP,2007,June,0.00012226831529520406,5.4674851317180784e-05,4e-05,0.0011,0.00027,11,1398981
EURJPY_Ticks_2007.06.01_2007.06.30.csv,EURJPY,EUR/JPY,2007,June,0.01741981800847161,0.007129546987112833,0.005,0.23,0.04,8,2273952
EURUSD_Ticks_2007.06.01_2007.06.30.csv,EURUSD,EUR/USD,2007,June,0.00013324925873033156,4.988173738949099e-05,4e-05,0.0003,0.0003,12,312302
GBPAUD_Ticks_2007.06.01_2007.06.30.csv,GBPAUD,GBP/AUD,2007,June,0.000515711100612988,0.00013350178308150574,0.00035,0.00296,0.0009,31,520728
GBPJPY_Ticks_2007.06.01_2007.06.30.csv,GBPJPY,GBP/JPY,2007,June,0.04094470874470822,0.0111036460104476,0.005,0.32,0.07,26,2099464
GBPUSD_Ticks_2007.06.01_2007.06.30.csv,GBPUSD,GBP/USD,2007,June,0.00017090621375431562,6.847688327799205e-05,4e-05,0.0021,0.0004,20,1919194
USDJPY_Ticks_2007.06.01_2007.06.30.csv,USDJPY,USD/JPY,2007,June,0.013647088553791849,0.00568689040669329,0.005,0.17,0.03,6,1853924
AUDJPY_Ticks_2007.03.01_2007.03.31.csv,AUDJPY,AUD/JPY,2007,March,0.028921444548198668,0.007832932341703167,0.004,0.12,0.06,26,690735
AUDUSD_Ticks_2007.03.01_2007.03.31.csv,AUDUSD,AUD/USD,2007,March,0.00020653375604744861,8.246385095223928e-05,2e-05,0.00071,0.00045,44,2826812
EURAUD_Ticks_2007.03.01_2007.03.31.csv,EURAUD,EUR/AUD,2007,March,0.0006305359283849168,0.00015009251882350778,0.0001,0.0019,0.0009,9,211017
EURGBP_Ticks_2007.03.01_2007.03.31.csv,EURGBP,EUR/GBP,2007,March,0.00013131309176336585,4.3726605912257394e-05,4e-05,0.0007,0.00027,11,309034
EURJPY_Ticks_2007.03.01_2007.03.31.csv,EURJPY,EUR/JPY,2007,March,0.020743470195161304,0.007308583950671559,0.004,0.07,0.04,16,467357
EURUSD_Ticks_2007.03.01_2007.03.31.csv,EURUSD,EUR/USD,2007,March,0.00012701359069109078,4.883187637299999e-05,3e-05,0.0007,0.0003,20,1239157
GBPAUD_Ticks_2007.03.01_2007.03.31.csv,GBPAUD,GBP/AUD,2007,March,0.000514683207978443,0.00013587261586135843,0.00034,0.00296,0.0009,41,1301106
GBPJPY_Ticks_2007.03.01_2007.03.31.csv,GBPJPY,GBP/JPY,2007,March,0.03861967937325783,0.011264707053285158,0.004,0.076,0.07,28,435522
GBPUSD_Ticks_2007.03.01_2007.03.31.csv,GBPUSD,GBP/USD,2007,March,0.00017714792475840766,7.150071096141111e-05,4e-05,0.0007,0.0004,16,377185
USDJPY_Ticks_2007.03.01_2007.03.31.csv,USDJPY,USD/JPY,2007,March,0.016258925447057454,0.006611901304490077,0.0,0.06,0.03,15,445804
